trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.5, 'e': 0.030346673687106588}",25,0,24.45496746030823,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.029739740213364455}",25,0,38.0292150298516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.029144945409097164}",25,0,6.387974437107209,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.02856204650091522}",20,1,20.380705133048732,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.027990805570896914}",25,15,14.550705850871914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.027430989459478975}",20,10,17.877955413379574,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.026882369670289397}",30,16,-11.269771291997767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.026344722276883607}",25,5,29.734055377340383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.025817827831345935}",30,2,42.04128995957997,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.025301471274719014}",20,12,14.884395637947573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.024795441849224633}",30,16,-9.990355703694664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
